,smiles,y_true,y_pred
0,C1=C[C@@H]([C@@H]2[C@H]1[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,0.21646597981452942,0.5401624441146851
1,Cn1cnc2c1c(=O)n(c(=O)n2C)C,-2.862071990966797,-2.347196578979492
2,C1CC[S+2](C1)([O-])[O-],-1.6324875354766846,0.7101146578788757
3,Cc1c[nH]c2c1cccc2,-0.7995430827140808,-0.015215548686683178
4,C1C=CC[C@@H]2[C@@H]1C(=O)N(C2=O)SC(Cl)(Cl)Cl,-1.754530668258667,-1.3545745611190796
5,COP(=S)(OC)SCn1c(=O)c2ccccc2nn1,-2.0657405853271484,-1.7526286840438843
6,CC(=O)N1CCCC1,-1.9955657720565796,-1.436914086341858
7,Cc1cnccn1,-0.686653196811676,-1.205323576927185
8,CCc1cnccn1,-0.6683467626571655,-1.1783028841018677
9,CC(C)Cc1cnccn1,-0.5432525277137756,-0.9790999889373779
10,Cn1ccnc1,-1.5714659690856934,-0.9921318292617798
11,C1COCCO1,-0.5493546724319458,-0.6984864473342896
12,c1ccc-2c(c1)Cc3c2cccc3,-0.027620287612080574,-0.36175626516342163
13,CCOP(=S)(OCC)S[C@@H](CCl)N1C(=O)c2ccccc2C1=O,-0.7568280100822449,-1.8935943841934204
14,C1CNCCN1,-1.263306975364685,-1.8158913850784302
15,CCNc1nc(nc(n1)SC)NC(C)C,-1.3395839929580688,-1.6153255701065063
16,C1CCNC1,-0.6774999499320984,-0.6488795280456543
17,CN1CCNCC1,-1.3761969804763794,-1.4113186597824097
18,Cn1cccc1,0.11272931843996048,-0.31954729557037354
19,CN1CCCCC1,-0.1893274337053299,-0.4513261318206787
20,CCNc1nc(nc(n1)Cl)NCC,-2.123711109161377,-1.9992749691009521
21,C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@@]5(C(=C([C@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,-0.47612881660461426,-0.4895738959312439
22,C1CC1,1.223321795463562,0.6473047137260437
23,c1ccc2c(c1)Cc3ccccc3C2,-0.1588166505098343,-0.3757891356945038
24,c1ccc2c(c1)cccn2,-0.7507258653640747,-1.101902723312378
25,CN1CCOCC1,-0.9337905645370483,-0.8487306237220764
26,C1(C(C(C1(F)F)(F)F)(F)F)(F)F,2.041010856628418,1.6526023149490356
27,Cc1c[nH]cn1,-2.1389665603637695,-0.7378543615341187
28,Cc1cccc(c1C)Nc2ccccc2C(=O)O,-1.074140191078186,-2.5644192695617676
29,c1cc2ccc3cccc4c3c2c(c1)cc4,-0.38459646701812744,-0.46233993768692017
30,c1(=O)[nH]c(=O)[nH]c(=O)[nH]1,-4.515756607055664,-2.3640658855438232
31,C=C(c1ccccc1)c2ccccc2,0.14629118144512177,-0.6109716892242432
32,CC1(Cc2cccc(c2O1)OC(=O)NC)C,-1.9375953674316406,-1.957020878791809
33,C1[C@H]([C@@H]2[C@H]([C@H]1Cl)[C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,-0.05507999286055565,0.4762265980243683
34,C1CCC(=O)C1,-0.4395158588886261,-0.2988027334213257
35,CN1CCN(CC1)C,-1.3182264566421509,-1.499627709388733
36,CN(C)CCOC(c1ccccc1)c2ccccc2,-1.8552162647247314,-1.5332404375076294
37,C1CC=CC1,1.165351390838623,0.5074402689933777
38,Cc1cccs1,0.5734421610832214,0.3752852976322174
39,CC(=O)C1CC1,-0.4120561480522156,-0.5102114081382751
40,c1ccsc1,0.5673400163650513,0.31678733229637146
41,CC1=CC(=O)CC(C1)(C)C,-0.5859676003456116,-0.7219301462173462
42,C1CCCC(CC1)O,-0.6774999499320984,-0.3598031997680664
43,c1ccc2cc3ccccc3cc2c1,-0.21068498492240906,-0.3272373676300049
44,c1ccc2c(c1)CCC2,0.549033522605896,-0.20473450422286987
45,C1C=CC=CC=C1,0.6924341917037964,-0.21243421733379364
46,CCNc1nc(nc(n1)SC)NC(C)(C)C,-1.0436294078826904,-1.5432196855545044
47,CN(C)CCC=C1c2ccccc2CCc3c1cccc3,-1.2724602222442627,-1.4454965591430664
48,c1cc[nH]c1,-0.46392449736595154,0.31674739718437195
49,c1ccc(cc1)Oc2ccccc2,0.11883147060871124,-0.9095674753189087
50,CCC[N@@](CC1CC1)c2c(cc(cc2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],0.24697676301002502,-0.412159264087677
51,CC1=CC(=O)[C@@H](CC1)C(C)C,-0.38154536485671997,-0.7550535798072815
52,C[C@@H](c1cccc(c1)C(=O)c2ccccc2)C(=O)O,-2.2945713996887207,-2.4777991771698
53,c1ccc2c(c1)C(=O)NC2=O,-1.9375953674316406,-2.164571762084961
54,C1[C@@H]2[C@H](COS(=O)O1)[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl,-0.2961151897907257,0.013862964697182178
55,C1CNC1,-0.7019085884094238,-0.6861292123794556
56,c1ccc(cc1)n2c(=O)c(c(cn2)N)Cl,-4.018430709838867,-2.8859915733337402
57,c1ccc(cc1)Cn2ccnc2,-1.333481788635254,-1.5895500183105469
58,c1cc2cccc3c2c(c1)CC3,0.033401280641555786,-0.2762925624847412
59,c1ccc2c(c1)ccc3c2cccc3,-0.1893274337053299,-0.2015688419342041
60,c1cnc[nH]1,-1.943697452545166,-0.7349225282669067
61,COC(=O)C1CC1,-0.25645115971565247,-0.6195558309555054
62,C1COCCN1,-1.1931321620941162,-1.3002259731292725
63,C1CCNCC1,-0.5646100640296936,-0.5981597900390625
64,C1=CC(=O)C=CC1=O,-0.9887099862098694,-1.348297119140625
