,smiles
0,C1=C(Cl)C=CC4=C1C3C2=CC=CC=C2CCN3CC(=O)N4C
1,C2=C(\C(NCCCC(=O)N)=C/1C=C(F)C=CC1=O)C=CC(=C2)Cl
2,C1=C(C(=C(C=C1C(NCC(N(CC)CC)=O)=O)OC)OC)OC
3,C1=CC=CC(=C1C2=NCC(N(C3=C2C(=N[N]3C)C)C)=O)F
4,C1=C(C=CC3=C1N(CCCN2CCN(CC2)C)C4=C(S3)C=CC=C4)C(F)(F)F
5,C1=CC=CC2=C1N(C(CO2)=O)CC(N)=O
6,C4=C(C2=C3C(=NC(=NCC1CC1)CN2O)C=CC(=C3)Cl)C=CC=C4
7,C2=C(CC(C(NCC(OCC1=CC=CC=C1)=O)=O)CSC(C)=O)C=CC=C2
8,C1=CC(=CC=C1C(C2=NCCN2)(C3=NC=CC=C3)O)Cl
9,C1=CC=CC=C1CC2(C3(C(C)(C)C(C2)CC3)C)OCCN(C)C
10,C2=C(C(C1=CC=CC=C1)[S](CC(N)=O)=O)C=CC=C2
11,[H+].C2=C1OCC(OC1=C(C=C2)OCC)CNCCCC.[Cl-]
12,C1=C(Cl)C=CC3=C1\C(C2=C(C=CC=C2)S3)=C\C4C5CCN(C4)CC5
13,C[S](O)(=O)=O.Oc1ccc2[nH]cc(CCCCN3CCC(=CC3)c4ccccc4)c2c1
14,Fc1ccc(cc1)C(=O)CCCN2CCN(CC2)c3ccccn3
15,C2=C(C1C(NCCN1)=O)SC=C2
16,C1=C(C(=CC(=C1)Cl)Cl)OCCCN(CC#C)C
17,C3=C(C1=CCN(CCC)CC1)C2=CC(=CC=C2[NH]3)Cl
18,Fc1ccc(cc1)C(=O)CCCN2CCC(=CC2)N3C(=O)Nc4ccccc34
19,C4=C(N2C(C1=C(SCCS1)C2=O)OC(N3CCN(C(CC)=O)CC3)=O)N=C5C(=C4)C=CC(=N5)Cl
20,C2=C(C1=C(C=CC=C1)[N]2N(CCN(C)C)C)C3=CC=CC=C3
21,[H+].C2=C1C(OC(=NC1=CC=C2Cl)NCC)(C3=CC=CC=C3)C.[Cl-]
22,COC1=CC=C2[C@H]3Cc4ccc(OC)c5O[C@@H]1[C@]2(CCN3C)c45
23,C1NCCN(C1)c1ccc(c(n1)Cl)C(F)(F)F
24,COC(=O)C1=CCCN(C)C1
25,CC(N)COc1c(C)cccc1C
26,[C@@H]45C(N(CCCCN3CCN(C1=NSC2=C1C=CC=C2)CC3)C([C@@H]4CCCC5)=O)=O
27,Oc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC=C)c2c1
28,CNCCCC2(C)C(=O)N(c1ccccc1)c3ccccc23
29,C1N(CCN(C1)c1cc(ccn1)C(F)(F)F)CCCCN1C(CCC1)=O
