,smiles
0,C1=C(Cl)C=CC4=C1C3C2=CC=CC=C2CCN3CC(=O)N4C
1,C2=C(\C(NCCCC(=O)N)=C/1C=C(F)C=CC1=O)C=CC(=C2)Cl
2,[C@@H]23[C@H]([C@H]1[C@]([C@](C(CSC(C(C)(C)C)=O)=O)(O)CC1)(C)C[C@@H]2O)CCC4=CC(=O)CC[C@]34C
3,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1
4,C3=C(OC2C1(NC(=O)C(O1)C)CCCC2)C=CC=C3Cl
5,C1=CC=CC=C1C3(C2=CC=CC=C2)NC(=O)NC3=O
6,Fc1ccc(cc1)C(=O)CCCN2CCN(CC2)c3ccccn3
7,[C@@H]23[C@H]([C@H]1[C@]([C@@H](C(C)=O)CC1)(C)C[C@@H]2O)C[C@H](C)C4=CC(=O)CC[C@]34C
8,C(C1(C(NC(=O)NC1=O)=O)C(=C/CC)/C)C
9,CCOC(=O)c1cncn1C(C)c2ccccc2
10,Fc1ccc(cc1)C(=O)CCCN2CCC(=CC2)N3C(=O)Nc4ccccc34
11,[C@]34([C@H](C2[C@@](F)([C@@]1(C(=CC(=O)C=C1)[C@@H](F)C2)C)[C@@H](O)C3)C[C@H]5OC(O[C@@]45C(=O)COC(=O)C6CC6)(C)C)C
12,CC3CC2C1CCC(C(C)=O)C1(C)CC(O)C2C4(C)C=CC(=O)C=C34
13,[C@@]45([C@@]3([C@H]([C@H]2[C@]([C@@]1(C(=CC(=O)C=C1)CC2)C)(F)[C@H](C3)O)C[C@H]4OC(O5)(C)C)C)C(COC(CC(C)(C)C)=O)=O
14,CCCC(C)C1(CC=C)C(=O)NC(=O)NC1=O
15,NC(=O)OC1(CCCCC1)C#C
16,[C@]34([C@H]([C@H]2C([C@@]1(C(=CC(C(=C1)Br)=O)[C@@H](C2)F)C)([C@H](C3)O)F)CCC4(C(=O)CO)O)C
17,C(C1(C(NC(=O)NC1=O)=O)CC=C)C(=C)Br
18,COC(=O)C1=CCCN(C)C1
19,C1=CC=CC=C1C2(N(C(=O)NC2=O)C)CC
20,CNCCCC2(C)C(=O)N(c1ccccc1)c3ccccc23
21,C1=CC=CC=C1C3(CC2CCCCN2)C(NC(=O)NC3=O)=O
22,[H+].C1=CC=CC2=C1N(C3=C(CC2)C=CC=C3)CCCN(CC(=O)C4=CC=C(Cl)C=C4)C.[Cl-]
23,CCC1(C)CC(=O)NC1=O
24,C1=C(C(F)(F)F)C=CC(=C1)C(=N/OCCN)/CCCCOC.O=C(O)\C=C/C(=O)O
25,Clc1ccc2N(CC3CC3)C(=O)CN=C(c4ccccc4)c2c1
26,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
